Page,Edits,Editors,Views
"1-й окремий механізований батальйон «Вовки Да Вінчі»",?,?,8362
"Символіка українців",?,?,8354
"25-та окрема повітрянодесантна бригада (Україна)",?,?,8354
"Оперативне командування «Південь»",?,?,8352
"Ватикан",?,?,8344
"Неандерталець",?,?,8340
"Граматична основа",?,?,8339
"Азбука Морзе",?,?,8321
"Французько-російська війна (1812)",?,?,8316
"Голодомор в Україні (1946—1947)",?,?,8312
"Болгарія",?,?,8312
"Сили територіальної оборони Збройних Сил України",?,?,8305
"Літературні жанри",?,?,8299
"Гоголь Микола Васильович",?,?,8290
"Ендокринна система",?,?,8282
"35-та окрема бригада морської піхоти (Україна)",?,?,8280
"Кучма Леонід Данилович",?,?,8276
"Галичина під час російської окупації (1914—1915)",?,?,8274
"TAURUS (крилата ракета)",?,?,8273
"Стерненко Сергій В'ячеславович",?,?,8266
"Національний університет «Острозька академія»",?,?,8259
"32-га окрема механізована бригада (Україна)",?,?,8257
"Великий князь київський",?,?,8251
"Південна Україна",?,?,8246
"Морська піхота України",?,?,8231
"Нова історія",?,?,8227
"Національна безпека України",?,?,8226
"Кам'янське",?,?,8219
"Релігія",?,?,8217
"58-ма окрема мотопіхотна бригада (Україна)",?,?,8217
"Здоров'я",?,?,8208
"Банкноти української гривні",?,?,8205
"Білорусь",?,?,8201
"Суспільство",?,?,8193
"Максим Залізняк",?,?,8185
"Косово",?,?,8180
"22-га окрема механізована бригада (Україна)",?,?,8180
"Список найпоширеніших прізвищ в Україні",?,?,8180
"Tabletki.ua",?,?,8178
"Географічні координати",?,?,8174
"Нью-Йорк",?,?,8167
"MIM-104 Patriot",?,?,8159
"Марко Поло",?,?,8148
"Костянтин Василь Острозький",?,?,8147
"1-ша окрема бригада спеціального призначення ім. Івана Богуна",?,?,8143
"Донцов Дмитро Іванович",?,?,8130
"Новий Заповіт",?,?,8116
"Операція «Захід»",?,?,8115
"Усі жінки — відьми",?,?,8107
"РС-28 Сармат",?,?,8100
"Масонство",?,?,8096
"Населення Землі",?,?,8096
"Зевс",?,?,8085
"Schmalgauzen",?,?,8083
"Леонардо Ді Капріо",?,?,8082
"81-ша окрема аеромобільна бригада (Україна)",?,?,8080
"Подоляк Михайло Михайлович",?,?,8072
"Укрзалізниця",?,?,8072
"Піхва жінки",?,?,8070
"Ідея нації",?,?,8067
"Коряк Тетяна",?,?,8060
"Дрогобич",?,?,8044
"Кіпр",?,?,8038
"Кіт лісовий",?,?,8036
"Мезоліт",?,?,8032
"Список олімпійських чемпіонів України",?,?,8030
"117-та окрема механізована бригада (Україна)",?,?,8024
"Націоналізм",?,?,8018
"Погони родів військ ЗСУ",?,?,8011
"Київський національний університет імені Тараса Шевченка",?,?,8006
"Микола Хвильовий",?,?,7998
"Ейфелева вежа",?,?,7998
"Хмельниччина",?,?,7996
"Список штатів США",?,?,7994
"Група періодичної системи",?,?,7994
"Пенні Пріцкер",?,?,7992
"TikTok",?,?,7989
"Бразилія",?,?,7987
"Піраміда Хеопса",?,?,7983
"Ющенко Віктор Андрійович",?,?,7981
"Бароко",?,?,7978
"Мовна норма",?,?,7972
"Helsi",?,?,7971
"Систематика (біологія)",?,?,7963
"Палеоліт України",?,?,7963
"Нейрон",?,?,7955
"Кілліан Мерфі",?,?,7944
"Львівська область",?,?,7933
"Кадиров Ахмат Абдулхамидович",?,?,7929
"2С7 «Піон»",?,?,7925
"Єва",?,?,7924
"Лев",?,?,7920
"Google Spaces",?,?,7915
"Молекула",?,?,7902
"Обмін речовин",?,?,7895
"Без образ (фільм, 2023)",?,?,7892
"Лібералізм",?,?,7880
"Безпілотний літальний апарат",?,?,7879
"Цукровий діабет",?,?,7874
"Хелловін",?,?,7873
"M142 HIMARS",?,?,7872
"Мистецтво Стародавнього Єгипту",?,?,7870
"Deutsche Welle",?,?,7865
"Звягель",?,?,7858
"Windows-1251",?,?,7858
"Шовінізм",?,?,7855
"Битва на Соммі",?,?,7851
"Готи (субкультура)",?,?,7840
"Війна у В'єтнамі",?,?,7836
"Сінгапур",?,?,7825
"Хімічний елемент",?,?,7822
"92-га окрема штурмова бригада (Україна)",?,?,7821
"Нова Зеландія",?,?,7819
"Чубинський Павло Платонович",?,?,7819
"Донецьк",?,?,7819
"Баязид",?,?,7815
"Крим",?,?,7814
"Список об'єктів Світової спадщини ЮНЕСКО в Україні",?,?,7803
"Інтернет",?,?,7801
"Горлицький прорив",?,?,7799
"Битва за Бахмут",?,?,7794
"Аутизм",?,?,7785
"Військова присяга",?,?,7785
"116-та окрема механізована бригада (Україна)",?,?,7782
"Загальна декларація прав людини",?,?,7782
"КАБ-500",?,?,7776
"Соціологія",?,?,7770
"Помаранчева революція",?,?,7768
"Сузір'я",?,?,7760
"Lockheed Martin F-35 Lightning II",?,?,7759
"Військова організація",?,?,7757
"Розмір чоловічого статевого члена",?,?,7754
"Чернігів",?,?,7750
"Андріївка (Бахмутський район)",?,?,7749
"Хіпі",?,?,7736
"Список країн НАТО",?,?,7733
"Список областей України за площею",?,?,7729
"Кабінет Міністрів України",?,?,7728
"Лисенко Микола Віталійович",?,?,7727
"Індустріальне суспільство",?,?,7719
"Еверест",?,?,7718
"Слобідська Україна",?,?,7718
"Дифузія",?,?,7714
"Кисень",?,?,7707
"Хронологія Французької революції",?,?,7701
"Лівонська війна",?,?,7698
"Ярмоленко Андрій Миколайович",?,?,7697
"Сахно Іванна Анатоліївна",?,?,7686
"Василь Биков (корабель)",?,?,7685
"Псоріаз",?,?,7678
"Джонні Депп",?,?,7677
"Су-27",?,?,7671
"Стівен Кінг",?,?,7668
"Зорій Юлія Ярославівна",?,?,7666
"Зоряні війни",?,?,7664
"Монархія",?,?,7656
"Чоловіча статева система",?,?,7652
"Сектор економіки",?,?,7647
"Людина розумна",?,?,7645
"Електронна пошта",?,?,7641
"Стародавній світ",?,?,7631
"Західна Україна",?,?,7628
"США в Першій світовій війні",?,?,7612
"9К515 «Торнадо-С»",?,?,7609
"Буддизм",?,?,7598
"Сім чудес світу",?,?,7598
"Discord",?,?,7590
"Ератосфен",?,?,7577
"Шляхта",?,?,7569
"Протестантизм",?,?,7564
"Посттравматичний стресовий розлад",?,?,7561
"Кравчук Леонід Макарович",?,?,7559
"Чотирикутник",?,?,7545
"Теорія держави і права",?,?,7542
"Бойко Юрій Анатолійович",?,?,7529
"Microsoft Windows",?,?,7528
"Ленін Володимир Ілліч",?,?,7524
"Закон Ома",?,?,7523
"Походження людини від мавпи",?,?,7522
"Португалія",?,?,7521
"Фембой",?,?,7517
"Магніт",?,?,7515
"Державна прикордонна служба України",?,?,7512
"Ще не вмерла Україна",?,?,7509
"Єгипет",?,?,7507
"Дієприкметник",?,?,7503
"Терористичний акт у Беслані",?,?,7502
"Євреї",?,?,7502
"Формули скороченого множення",?,?,7499
"Теорії виникнення держави",?,?,7498
"Алкани",?,?,7497
"Історичні землі України",?,?,7494
"Образотворче мистецтво",?,?,7492
"Марґо Роббі",?,?,7489
"Іран",?,?,7488
"Памфір",?,?,7470
"Steam",?,?,7469
"Вікісховище",?,?,7465
"53-тя окрема механізована бригада (Україна)",?,?,7458
"Кирилиця",?,?,7447
"Тор (ЗРК)",?,?,7435
"Послідовне і паралельне з'єднання провідників",?,?,7433
"Спеціальні історичні дисципліни",?,?,7430
"Українська правда",?,?,7422
"Gepard (ЗСУ)",?,?,7414
"23-тя окрема механізована бригада (Україна)",?,?,7413
"Країна",?,?,7404
"17 вересня",?,?,7401
"Біла Церква",?,?,7392
"Просте число",?,?,7386
"Повість временних літ",?,?,7386
"Теплове розширення",?,?,7385
"Супермама",?,?,7383
